epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,5598.42,1.1402,0.93396,1.6221,0.51348,0.56205,0.5428,0.30941,1.61204,1.21425,2.57437,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5669.93,1.15094,0.96064,1.62189,0.54834,0.52096,0.54315,0.30243,1.62075,1.27716,2.59892,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5741.19,1.12542,0.91954,1.60071,0.52967,0.5532,0.54166,0.29492,1.65149,1.28967,2.65521,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5812.03,1.10391,0.91262,1.59792,0.54516,0.56263,0.54429,0.29807,1.65422,1.17741,2.65553,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5885.97,1.11745,0.90594,1.59833,0.52491,0.56499,0.5483,0.29395,1.63103,1.23376,2.62676,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5961.56,1.0984,0.89971,1.59462,0.5237,0.5548,0.5402,0.30074,1.63106,1.23229,2.62779,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6033.85,1.11232,0.89251,1.5915,0.5345,0.53216,0.53852,0.29714,1.65333,1.21971,2.65069,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6104.97,1.10169,0.89388,1.5899,0.49717,0.55943,0.53441,0.30266,1.64997,1.18956,2.63351,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6177.1,1.0925,0.88863,1.58191,0.51082,0.56629,0.53856,0.29829,1.66464,1.19784,2.63902,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6250.4,1.07302,0.86284,1.55689,0.54442,0.57108,0.53808,0.29403,1.66058,1.16425,2.65133,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6321.32,1.07852,0.8648,1.56804,0.53105,0.57492,0.54061,0.30007,1.66305,1.15772,2.64341,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6393.91,1.1005,0.88878,1.58614,0.54658,0.55848,0.54251,0.30548,1.65423,1.1567,2.63762,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6465.11,1.08393,0.87824,1.5745,0.54053,0.56378,0.55101,0.30684,1.63924,1.18636,2.62582,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6538.63,1.05453,0.83507,1.55728,0.54829,0.54877,0.54502,0.30534,1.64175,1.18079,2.62809,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6610.99,1.06799,0.85874,1.56004,0.54079,0.57923,0.54184,0.30339,1.65602,1.2021,2.6489,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6683.68,1.02008,0.60073,1.6931,0.53472,0.50917,0.53034,0.29613,1.65198,1.28848,2.63566,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6756.51,1.00662,0.5708,1.68322,0.50662,0.5037,0.51782,0.28943,1.63913,1.38097,2.6301,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6828.68,0.97026,0.55676,1.63578,0.48735,0.5021,0.51762,0.28808,1.65284,1.36709,2.64936,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6898.85,0.95358,0.54322,1.63277,0.49955,0.47319,0.5117,0.29077,1.64113,1.4152,2.64023,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6970.72,0.95457,0.54402,1.63713,0.50161,0.47072,0.50877,0.28548,1.63993,1.42577,2.64433,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7043.87,0.93859,0.52588,1.61319,0.49086,0.47753,0.50743,0.28359,1.63457,1.39097,2.65228,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
